;wine type;fixed acidity;volatile acidity;citric acid;residual sugar;magnesium;flavanoids;minerals;calcium;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1616;Cabernet Sauvignon;5.7;0.22;0.22;16.65;12.648984512398265;593.08;299.9989845123983;287.35;0.044;39.0;110.0;0.99855;3.24;0.48;9.0;6
1617;Cabernet Sauvignon;7.8;0.43;0.49;13.0;98.69199550636267;759.73;256.08199550636266;157.39;0.033;37.0;158.0;0.9955;3.14;0.35;11.3;6
1618;Merlot;6.7;0.26;0.29;7.7;0.7644973707072955;1182.42;395.4444973707073;394.68;0.038;40.0;179.0;0.99479;3.23;0.56;10.4;6
1619;Gamay;6.8;0.27;0.35;7.8;23.73495975055685;570.71;227.00495975055685;203.27;0.048;76.0;197.0;0.9959;3.24;0.43;9.5;2
1620;Cabernet Sauvignon;8.1;0.28;0.49;1.0;76.441563914554;1292.29;293.471563914554;217.03;0.04;32.0;148.0;0.9936;3.13;0.41;10.0;6
1621;Merlot;6.8;0.23;0.48;1.5;32.73650769146508;823.64;388.4865076914651;355.75;0.036;35.0;165.0;0.99162;3.18;0.45;11.3;6
1622;Pinot noir;6.3;0.495;0.22;1.8;74.38360259464709;1224.79;322.7436025946471;248.36;0.046;31.0;140.0;0.9929;3.39;0.54;10.4;6
1623;Merlot;6.1;0.3;0.3;2.1;41.25788640864033;1272.87;326.0878864086403;284.83;0.031;50.0;163.0;0.9895;3.39;0.43;12.7;7
1624;Chardonnay;7.4;0.25;0.28;7.25;36.45510238393965;790.7;206.75510238393966;170.3;0.028;14.0;78.0;0.99238;2.94;0.37;11.5;7
1625;Pinot noir;6.1;0.25;0.3;1.2;48.02513008188074;712.72;347.7651300818807;299.74;0.036;42.0;107.0;0.991;3.34;0.56;10.8;7
1626;Pinot noir;7.0;0.21;0.28;8.6;36.605788333538534;503.91;260.61578833353855;224.01;0.045;37.0;221.0;0.9954;3.25;0.54;10.4;6
1627;Chardonnay;7.0;0.28;0.33;14.6;32.70105824008781;787.36;234.81105824008782;202.11;0.043;47.0;168.0;0.9994;3.34;0.67;8.8;6
1628;Merlot;7.6;0.2;0.3;14.2;87.54785494845662;1199.72;351.6978549484566;264.15;0.056;53.0;212.5;0.999;3.14;0.46;8.9;8
1629;Merlot;6.8;0.23;0.42;7.4;58.93756493705952;477.13;297.1275649370595;238.19;0.044;56.0;189.0;0.9958;3.22;0.48;9.3;6
1630;Merlot;6.2;0.46;0.25;4.4;79.88634717492316;962.65;334.30634717492313;254.42;0.066;62.0;207.0;0.9939;3.25;0.52;9.8;5
1631;Merlot;7.2;0.31;0.35;7.2;44.5940493144339;827.57;270.6740493144339;226.08;0.046;45.0;178.0;0.9955;3.14;0.53;9.7;5
1632;Chardonnay;8.7;0.23;0.32;13.4;78.12553987420009;1009.9;328.9055398742001;250.78;0.044;35.0;169.0;0.99975;3.12;0.47;8.8;7
1633;Pinot noir;6.6;0.15;0.32;6.0;22.04319902169547;1200.9;329.2931990216955;307.25;0.033;59.0;128.0;0.99192;3.19;0.71;12.1;8
1634;Merlot;6.4;0.41;0.01;6.1;46.902042443298384;677.19;395.9820424432984;349.08;0.048;20.0;70.0;0.99362;3.19;0.42;10.0;5
1635;Merlot;7.3;0.22;0.41;15.4;7.893202895411311;815.83;275.2132028954113;267.32;0.05;55.0;191.0;1.0;3.32;0.59;8.9;6
1636;Merlot;6.9;0.44;0.27;5.0;50.422933236510424;1032.62;230.49293323651042;180.07;0.038;33.0;166.0;0.99124;3.2;0.42;12.2;6
1637;Cabernet Sauvignon;6.4;0.21;0.5;11.6;46.76167216338217;751.31;291.6316721633822;244.87;0.042;45.0;153.0;0.9972;3.15;0.43;8.8;5
1638;Chardonnay;6.3;0.17;0.23;5.7;12.959022767056382;894.55;322.24902276705643;309.29;0.048;44.0;147.0;0.99382;3.08;0.54;10.0;5
1639;Pinot noir;6.2;0.36;0.22;5.25;3.4100689433436138;896.77;256.9000689433436;253.49;0.038;44.0;145.0;0.99184;3.22;0.4;11.2;6
1640;Pinot noir;6.5;0.36;0.31;13.55;31.149825026767207;689.26;195.82982502676722;164.68;0.053;20.0;113.0;0.99544;3.2;0.56;11.0;6
1641;Chardonnay;6.3;0.34;0.36;4.9;25.31854317894816;560.14;376.44854317894817;351.13;0.035;31.0;185.0;0.9946;3.15;0.49;9.7;5
1642;Cabernet Sauvignon;7.2;0.37;0.15;2.0;97.38334268340651;1001.28;349.5133426834065;252.13;0.029;27.0;87.0;0.9903;3.3;0.59;12.6;7
1643;Pinot noir;7.6;0.17;0.45;11.2;11.190804269107135;433.84;326.21080426910714;315.02;0.054;56.0;137.0;0.997;3.15;0.47;10.0;5
1644;Chardonnay;6.9;0.23;0.38;8.3;36.2743959553018;1120.07;270.58439595530183;234.31;0.047;47.0;162.0;0.9954;3.34;0.52;10.5;7
1645;Pinot noir;7.0;0.15;0.28;14.7;91.84944795895031;660.26;163.5994479589503;71.75;0.051;29.0;149.0;0.99792;2.96;0.39;9.0;7
1646;Merlot;6.8;0.22;0.31;1.4;70.20472063059651;1180.15;324.66472063059655;254.46;0.053;34.0;114.0;0.9929;3.39;0.77;10.6;6
1647;Chardonnay;5.3;0.76;0.03;2.7;55.84633941768106;714.95;230.17633941768108;174.33;0.043;27.0;93.0;0.9932;3.34;0.38;9.2;5
1648;Chardonnay;7.7;0.34;0.28;11.0;43.63842897425067;886.03;337.9084289742507;294.27;0.04;31.0;117.0;0.99815;3.27;0.29;9.2;6
1649;Merlot;6.9;0.33;0.26;5.0;79.93392522726165;1046.37;258.29392522726164;178.36;0.027;46.0;143.0;0.9924;3.25;0.43;11.2;7
1650;Merlot;7.2;0.17;0.28;17.55;32.06413662948964;880.13;222.64413662948965;190.58;0.05;33.0;154.0;0.99971;2.94;0.43;9.0;7
1651;Chardonnay;8.7;0.45;0.4;1.5;89.5512624489855;1047.26;576.7612624489855;487.21;0.067;17.0;100.0;0.9957;3.27;0.57;10.1;6
1652;Pinot noir;7.5;0.18;0.39;1.9;56.51818566398597;850.31;355.50818566398596;298.99;0.054;23.0;91.0;0.9941;3.27;0.45;10.3;6
1653;Merlot;8.6;0.34;0.36;1.4;87.76004040979235;1178.74;335.60004040979237;247.84;0.045;11.0;119.0;0.99556;3.17;0.47;9.4;4
1654;Chardonnay;6.3;0.27;0.37;7.9;14.010332961219252;810.07;165.28033296121927;151.27;0.047;58.0;215.0;0.99542;3.19;0.48;9.5;6
1655;Merlot;7.0;0.17;0.33;4.0;2.4039866799375975;582.46;143.81398667993759;141.41;0.034;17.0;127.0;0.9934;3.19;0.39;10.6;7
1656;Chardonnay;6.2;0.34;0.25;12.1;33.81631672291082;992.39;318.1163167229108;284.3;0.059;33.0;171.0;0.99769;3.14;0.56;8.7;6
1657;Pinot noir;5.8;0.24;0.44;3.5;87.11080239680977;498.2;179.08080239680976;91.97;0.029;5.0;109.0;0.9913;3.53;0.43;11.7;3
1658;Merlot;6.8;0.28;0.36;8.0;5.949636542535741;1226.58;303.50963654253576;297.56;0.045;28.0;123.0;0.9928;3.02;0.37;11.4;6
1659;Merlot;7.8;0.15;0.34;1.1;33.12397774566696;1324.62;287.48397774566695;254.36;0.035;31.0;93.0;0.99096;3.07;0.72;11.3;7
1660;Gamay;6.2;0.31;0.26;4.8;51.835357449576;1134.86;308.87535744957603;257.04;0.037;36.0;148.0;0.9928;3.21;0.41;10.4;2
1661;Cabernet Sauvignon;5.9;0.23;0.28;8.6;30.219087170467386;1019.03;214.2790871704674;184.06;0.046;37.0;142.0;0.99432;3.23;0.53;10.6;6
1662;Cabernet Sauvignon;7.8;0.23;0.28;4.75;93.44062148602096;1001.49;248.98062148602094;155.54;0.042;45.0;166.0;0.9928;2.96;0.4;11.5;5
1663;Cabernet Sauvignon;7.0;0.23;0.42;1.1;45.89223008603048;950.52;274.5322300860305;228.64;0.062;35.0;100.0;0.99318;3.04;0.4;9.2;5
1664;Pinot noir;6.5;0.37;0.3;2.2;88.00473540167386;245.07;244.73473540167384;156.73;0.033;39.0;107.0;0.98894;3.22;0.53;13.5;7
1665;Chardonnay;5.5;0.17;0.23;2.9;37.58325126474363;980.98;248.78325126474363;211.2;0.039;10.0;108.0;0.99243;3.28;0.5;10.0;5
1666;Merlot;6.5;0.17;0.54;8.5;83.51621078544105;951.08;462.92621078544107;379.41;0.082;64.0;163.0;0.9959;2.89;0.39;8.8;6
1667;Merlot;6.8;0.3;0.33;12.8;76.6456645973384;1074.69;196.0556645973384;119.41;0.041;60.0;168.0;0.99659;3.1;0.56;9.8;5
1668;Chardonnay;7.4;0.29;0.48;12.8;83.88259190543644;1099.55;234.46259190543645;150.58;0.037;61.5;182.0;0.99808;3.02;0.34;8.8;5
1669;Cabernet Sauvignon;6.9;0.28;0.3;1.6;75.4331874597379;776.01;412.2531874597379;336.82;0.047;46.0;132.0;0.9918;3.35;0.38;11.1;7
1670;Merlot;6.0;0.67;0.07;1.2;65.62163615885711;976.04;186.27163615885712;120.65;0.06;9.0;108.0;0.9931;3.11;0.35;8.7;4
1671;Merlot;6.3;0.2;0.37;11.8;73.88443730856592;814.42;414.73443730856593;340.85;0.045;58.0;130.0;0.99519;3.2;0.35;10.8;5
1672;Cabernet Sauvignon;6.2;0.33;0.41;16.8;62.962609693949986;704.07;164.97260969395;102.01;0.037;58.0;173.0;0.99882;3.25;0.57;9.4;6
1673;Merlot;6.0;0.2;0.26;6.8;31.480795352115354;93.0;266.42079535211536;234.94;0.049;22.0;93.0;0.9928;3.15;0.42;11.0;6
1674;Cabernet Sauvignon;7.5;0.13;0.38;1.1;5.615174816550306;991.05;177.8951748165503;172.28;0.023;42.0;104.0;0.99112;3.28;0.53;11.8;6
1675;Cabernet Sauvignon;5.7;0.25;0.26;12.5;8.963072841170195;836.42;252.2230728411702;243.26;0.049;52.5;106.0;0.99691;3.08;0.45;9.4;6
1676;Pinot noir;6.2;0.3;0.32;1.2;57.900089461897394;1022.73;324.5900894618974;266.69;0.052;32.0;185.0;0.99266;3.28;0.44;10.1;5
1677;Pinot noir;6.2;0.33;0.14;4.8;36.29436905689253;882.75;252.26436905689252;215.97;0.052;27.0;128.0;0.99475;3.21;0.48;9.4;5
1678;Cabernet Sauvignon;5.0;0.235;0.27;11.75;3.716913217570228;1201.5;302.9769132175702;299.26;0.03;34.0;118.0;0.9954;3.07;0.5;9.4;6
1679;Cabernet Sauvignon;7.5;0.22;0.29;4.8;24.38825881722303;1128.29;291.828258817223;267.44;0.05;33.0;87.0;0.994;3.14;0.42;9.9;5
1680;Gamay;7.0;0.32;0.31;6.4;11.148549760539572;1031.59;164.01854976053957;152.87;0.031;38.0;115.0;0.99235;3.38;0.58;12.2;2
1681;Pinot noir;8.0;0.29;0.49;11.7;99.98298401183013;1157.03;255.25298401183014;155.27;0.035;40.0;131.0;0.9958;3.14;0.34;10.8;5
1682;Cabernet Sauvignon;7.7;0.2;0.44;13.9;31.36187197218949;1050.36;306.9718719721895;275.61;0.05;44.0;130.0;0.99855;3.11;0.48;10.0;6
1683;Merlot;5.9;0.15;0.31;5.8;21.862036034300004;1122.31;323.2520360343;301.39;0.041;53.0;155.0;0.9945;3.52;0.46;10.5;6
1684;Chardonnay;8.2;0.32;0.26;2.1;89.86128372327605;499.7;428.941283723276;339.08;0.062;26.0;87.0;0.98974;3.1;0.47;12.8;6
1685;Pinot noir;5.9;0.27;0.29;11.4;2.090193855119482;825.61;276.2201938551195;274.13;0.036;31.0;115.0;0.9949;3.35;0.48;10.5;8
1686;Pinot noir;9.9;0.49;0.23;2.4;69.15787263895446;624.5;313.55787263895445;244.4;0.087;19.0;115.0;0.9948;2.77;0.44;9.4;6
1687;Cabernet Sauvignon;6.6;0.23;0.26;1.3;31.119494213391373;1172.37;243.12949421339135;212.01;0.045;16.0;128.0;0.9934;3.36;0.6;10.0;6
1688;Gamay;6.4;0.3;0.16;7.5;46.34340625848643;797.69;222.05340625848643;175.71;0.05;55.0;191.0;0.9959;3.17;0.49;9.0;1
1689;Merlot;7.1;0.18;0.39;14.5;99.60230153715565;923.33;331.74230153715564;232.14;0.051;48.0;156.0;0.99947;3.35;0.78;9.1;5
1690;Gamay;7.8;0.24;0.32;12.2;10.589510653246615;1122.2;256.96951065324663;246.38;0.054;42.0;138.0;0.9984;3.01;0.54;8.8;1
1691;Cabernet Sauvignon;6.6;0.28;0.09;10.9;69.38258112759011;1179.8;315.9825811275901;246.6;0.051;37.0;131.0;0.99566;2.93;0.62;9.5;6
1692;Merlot;7.3;0.32;0.35;1.4;46.21105925984631;679.17;299.0610592598463;252.85;0.05;8.0;163.0;0.99244;3.24;0.42;10.7;5
1693;Cabernet Sauvignon;8.5;0.25;0.27;4.7;77.11353173618451;1154.24;214.1135317361845;137.0;0.031;31.0;92.0;0.9922;3.01;0.33;12.0;6
1694;Chardonnay;5.8;0.15;0.28;0.8;28.98148548566304;1196.19;197.43148548566302;168.45;0.037;43.0;127.0;0.99198;3.24;0.51;9.3;5
1695;Merlot;7.7;0.34;0.28;11.0;71.06624545617404;1211.83;178.29624545617406;107.23;0.04;31.0;117.0;0.99815;3.27;0.29;9.2;6
1696;Merlot;6.0;0.24;0.32;6.3;58.99721583872425;1370.46;177.99721583872426;119.0;0.03;34.0;129.0;0.9946;3.52;0.41;10.4;5
1697;Merlot;5.9;0.27;0.27;9.0;7.189830419854893;819.48;354.3898304198549;347.2;0.051;43.0;136.0;0.9941;3.25;0.53;10.7;6
1698;Chardonnay;6.1;0.28;0.25;17.75;70.54748448523236;1379.73;332.28748448523237;261.74;0.044;48.0;161.0;0.9993;3.34;0.48;9.5;5
1699;Chardonnay;7.4;0.25;0.49;1.1;60.23925412670973;1118.26;325.73925412670974;265.5;0.042;35.0;156.0;0.9917;3.13;0.55;11.3;5
1700;Merlot;6.2;0.31;0.21;6.3;53.7681650828421;1087.96;355.78816508284206;302.02;0.041;50.0;218.0;0.9941;3.15;0.6;10.0;5
1701;Pinot noir;7.2;0.34;0.28;10.4;29.376849358312175;919.77;196.66684935831216;167.29;0.108;43.0;187.0;0.99738;2.96;0.57;9.4;5
1702;Chardonnay;7.1;0.2;0.31;6.85;18.090360285710705;743.48;239.2503602857107;221.16;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;6
1703;Cabernet Sauvignon;5.2;0.37;0.33;1.2;87.32890656213814;1500.61;371.36890656213814;284.04;0.028;13.0;81.0;0.9902;3.37;0.38;11.7;6
1704;Pinot noir;8.2;0.22;0.3;1.8;86.77954819265469;943.27;254.19954819265467;167.42;0.047;47.0;185.0;0.9933;3.13;0.5;10.2;6
1705;Chardonnay;6.2;0.45;0.73;7.2;69.06933685289566;1570.58;342.69933685289567;273.63;0.099;47.0;202.0;0.99582;3.21;0.43;9.2;5
1706;Chardonnay;8.5;0.23;0.28;11.1;71.42427324440953;915.0;276.44427324440954;205.02;0.033;30.0;97.0;0.99507;3.03;0.39;10.5;7
1707;Chardonnay;6.6;0.18;0.35;1.5;36.280185009448516;1039.38;237.52018500944854;201.24;0.049;49.0;141.0;0.9934;3.43;0.85;10.2;7
1708;Chardonnay;8.0;0.27;0.24;1.2;37.437511287858364;598.29;182.23751128785838;144.8;0.044;20.0;102.0;0.9929;3.28;0.42;10.9;5
1709;Pinot noir;6.0;0.39;0.26;2.7;90.73218063070823;1192.56;390.28218063070824;299.55;0.038;39.0;187.0;0.99325;3.41;0.5;10.8;6
1710;Cabernet Sauvignon;6.8;0.23;0.3;6.95;34.821717911714245;927.9;256.39171791171424;221.57;0.044;42.0;179.0;0.9946;3.25;0.56;10.6;6
1711;Chardonnay;6.3;0.29;0.29;3.3;9.14926617334908;676.3;212.09926617334906;202.95;0.037;32.0;140.0;0.9895;3.17;0.36;12.8;7
1712;Chardonnay;6.6;0.22;0.34;11.6;89.5130684700095;976.17;344.9430684700095;255.43;0.05;59.0;140.0;0.99526;3.22;0.4;10.8;5
1713;Cabernet Sauvignon;5.7;0.45;0.42;1.1;5.530484604298724;657.86;325.17048460429874;319.64;0.051;61.0;197.0;0.9932;3.02;0.4;9.0;5
1714;Cabernet Sauvignon;6.8;0.67;0.3;13.0;52.0798943056598;991.41;258.8698943056598;206.79;0.29;22.0;193.0;0.9984;3.08;0.67;9.0;4
1715;Chardonnay;7.2;0.35;0.25;;;;;;;;;0.99334;2.93;0.66;10.3;7
1716;Cabernet Sauvignon;6.5;0.51;0.25;1.7;95.8505467915737;1458.52;288.8805467915737;193.03;0.048;39.0;177.0;0.99212;3.28;0.57;10.6;5
1717;Chardonnay;7.5;0.26;0.59;11.8;42.430767089471054;440.57;323.24076708947103;280.81;0.046;58.0;164.0;0.99814;3.17;0.46;8.9;4
1718;Merlot;6.5;0.28;0.33;15.7;30.847691959560887;620.81;231.04769195956086;200.2;0.053;51.0;190.0;0.9978;3.22;0.51;9.7;6
1719;Cabernet Sauvignon;7.0;0.28;0.32;7.75;12.808148102540962;1470.96;248.83814810254097;236.03;0.032;30.0;114.0;0.99158;3.12;0.64;12.8;7
1720;Pinot noir;5.9;0.29;0.16;7.9;70.0296498243375;1046.92;241.0596498243375;171.03;0.044;48.0;197.0;0.99512;3.21;0.36;9.4;5
1721;Cabernet Sauvignon;5.9;0.34;0.22;2.4;32.698548843217935;1002.79;275.03854884321794;242.34;0.03;19.0;135.0;0.9894;3.41;0.78;13.9;7
1722;Merlot;5.9;0.24;0.28;1.3;39.119896381700634;828.84;241.05989638170064;201.94;0.032;36.0;95.0;0.98889;3.08;0.64;12.9;7
1723;Pinot noir;7.1;0.14;0.4;1.2;17.026998203959266;744.56;331.77699820395924;314.75;0.051;55.0;136.0;0.9932;3.3;0.96;9.8;7
1724;Chardonnay;6.9;0.19;0.33;1.6;36.26619445006155;612.56;268.89619445006156;232.63;0.043;63.0;149.0;0.9925;3.44;0.52;10.8;5
1725;Chardonnay;7.2;0.23;0.25;18.8;7.630628403887063;733.09;157.84062840388708;150.21;0.085;19.0;111.0;1.00044;3.1;0.51;8.7;5
1726;Cabernet Sauvignon;6.6;0.19;0.35;1.5;35.09644838769618;1048.93;241.61644838769618;206.52;0.037;37.0;107.0;0.99006;3.18;0.68;12.0;7
1727;Pinot noir;5.8;0.36;0.32;1.7;0.9865921295269975;1024.2;342.746592129527;341.76;0.033;22.0;96.0;0.9898;3.03;0.38;11.2;6
1728;Pinot noir;6.4;0.17;0.27;6.7;54.25081260428978;722.51;288.14081260428975;233.89;0.036;88.0;223.0;0.9948;3.28;0.35;10.2;6
1729;Cabernet Sauvignon;7.1;0.21;0.33;1.2;66.19899308250719;1005.87;255.01899308250717;188.82;0.039;34.0;97.0;0.99112;3.11;0.75;11.2;6
1730;Cabernet Sauvignon;7.5;0.27;0.31;17.7;91.15414130170659;596.04;363.0541413017066;271.9;0.051;33.0;173.0;0.999;3.09;0.64;10.2;5
1731;Pinot noir;7.1;0.23;0.28;1.9;75.25022013963243;1058.17;240.91022013963243;165.66;0.046;33.0;103.0;0.98997;3.12;0.31;12.0;5
1732;Merlot;5.7;0.265;0.28;6.9;28.094416428153444;963.54;328.84441642815347;300.75;0.036;46.0;150.0;0.99299;3.36;0.44;10.8;7
1733;Cabernet Sauvignon;6.4;0.27;0.45;8.3;95.92135953328949;1010.02;294.6113595332895;198.69;0.05;52.0;196.0;0.9955;3.18;0.48;9.5;5
1734;Merlot;7.4;0.26;0.37;9.4;54.15576910730371;964.45;418.36576910730366;364.21;0.047;42.0;147.0;0.9982;3.46;0.72;10.0;5
1735;Merlot;6.8;0.19;0.71;17.5;73.99518571890216;1112.81;358.5351857189022;284.54;0.042;21.0;114.0;0.99784;2.85;0.5;9.5;6
1736;Pinot noir;7.2;0.46;0.65;10.4;93.10628404047473;269.45;346.68628404047473;253.58;0.05;76.0;192.0;0.9976;3.16;0.42;8.7;5
1737;Chardonnay;6.6;0.26;0.46;6.9;47.21209676212514;912.15;142.81209676212512;95.6;0.047;59.0;183.0;0.99594;3.2;0.45;9.3;5
1738;Pinot noir;6.8;0.2;0.59;0.9;26.531455789071657;612.42;323.51145578907165;296.98;0.147;38.0;132.0;0.993;3.05;0.38;9.1;6
1739;Merlot;7.9;0.14;0.45;1.8;24.471494758766333;1322.52;374.7814947587663;350.31;0.05;17.0;114.0;0.9948;3.33;0.49;10.7;7
1740;Pinot noir;7.4;0.19;0.3;12.8;18.238583354825977;638.55;265.458583354826;247.22;0.053;48.5;229.0;0.9986;3.14;0.49;9.1;7
1741;Chardonnay;7.1;0.38;0.42;11.8;22.729916394609905;520.84;321.3699163946099;298.64;0.041;32.0;193.0;0.99624;3.04;0.49;10.0;6
1742;Merlot;7.9;0.35;0.28;12.9;34.76131526846042;1262.75;274.97131526846044;240.21;0.032;13.0;63.0;0.9932;2.99;0.43;13.0;6
1743;Merlot;6.7;0.28;0.31;7.4;14.490886453331397;625.73;397.32088645333135;382.83;0.041;7.0;81.0;0.99254;3.04;0.47;11.4;8
1744;Chardonnay;7.4;0.19;0.31;14.5;58.3892733487428;848.35;432.8592733487428;374.47;0.045;39.0;193.0;0.9986;3.1;0.5;9.2;6
1745;Chardonnay;6.2;0.27;0.32;8.8;7.573020564299893;1061.53;208.6730205642999;201.1;0.047;65.0;224.0;0.9961;3.17;0.47;8.9;5
1746;Merlot;6.3;0.16;0.22;1.3;42.37695903946701;897.8;304.076959039467;261.7;0.046;18.0;66.0;0.99307;3.61;0.55;10.3;6
1747;Merlot;8.0;0.26;0.28;4.8;80.86778386015605;1045.65;196.34778386015606;115.48;0.05;34.0;150.0;0.99437;3.13;0.5;10.0;6
1748;Cabernet Sauvignon;8.3;0.39;0.7;10.6;76.71900881992048;678.85;358.66900881992046;281.95;0.045;33.0;169.0;0.9976;3.09;0.57;9.4;5
1749;Merlot;5.6;0.245;0.32;1.1;63.92990627390025;1202.35;260.9699062739002;197.04;0.047;24.0;152.0;0.9927;3.12;0.42;9.3;6
1750;Merlot;7.4;0.19;0.3;12.8;77.73839560271846;786.73;290.5983956027185;212.86;0.053;48.5;229.0;0.9986;3.14;0.49;9.1;7
1751;Cabernet Sauvignon;6.6;0.31;0.28;1.4;81.69745207700502;937.09;325.047452077005;243.35;0.035;28.0;107.0;0.98836;3.0;0.4;13.2;6
1752;Merlot;7.5;0.17;0.34;1.4;43.9038773454956;93.0;272.9638773454956;229.06;0.035;13.0;102.0;0.9918;3.05;0.74;11.0;5
1753;Cabernet Sauvignon;7.6;0.29;0.42;1.3;76.46309695424726;842.55;254.50309695424727;178.04;0.035;18.0;86.0;0.9908;2.99;0.39;11.3;5
1754;Merlot;5.9;0.22;0.29;4.2;92.63685033922393;1344.88;371.1568503392239;278.52;0.037;69.0;144.0;0.99214;3.13;0.74;10.8;7
1755;Merlot;7.7;0.44;0.24;11.2;21.736433760238725;640.6;329.2464337602387;307.51;0.031;41.0;167.0;0.9948;3.12;0.43;11.3;7
1756;Pinot noir;8.2;0.15;0.48;2.7;28.788223197686513;672.71;273.9582231976865;245.17;0.052;24.0;190.0;0.995;3.5;0.45;10.9;7
1757;Merlot;8.0;0.25;0.27;9.7;45.98670393194107;495.7;258.68670393194105;212.7;0.036;15.0;85.0;0.99406;2.99;0.36;11.2;6
1758;Chardonnay;6.3;0.27;0.51;7.6;45.97772457353035;738.7;282.7477245735304;236.77;0.049;35.0;200.0;0.99548;3.16;0.54;9.4;4
1759;Cabernet Sauvignon;7.3;0.21;0.29;1.6;28.056782706011496;1046.84;255.2667827060115;227.21;0.034;29.0;118.0;0.9917;3.3;0.5;11.0;8
1760;Chardonnay;7.3;0.28;0.54;12.9;4.999120338251128;1258.06;280.7191203382512;275.72;0.049;62.0;152.0;0.9984;3.06;0.45;9.1;6
1761;Merlot;6.5;0.23;0.36;16.3;67.69907386546133;785.46;381.5990738654613;313.9;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;99
1762;Merlot;6.6;0.33;0.31;1.3;38.69523078708505;767.66;261.0352307870851;222.34;0.02;29.0;89.0;0.99035;3.26;0.44;12.4;8
1763;Merlot;6.8;0.34;0.36;8.9;75.57213808563024;1381.85;298.24213808563024;222.67;0.029;44.0;128.0;0.99318;3.28;0.35;11.95;7
1764;Cabernet Sauvignon;7.6;0.27;0.52;3.2;17.41602847409941;835.8;222.6460284740994;205.23;0.043;28.0;152.0;0.99129;3.02;0.53;11.4;6
1765;Cabernet Sauvignon;7.6;0.28;0.17;1.6;40.85011954477119;1106.83;174.98011954477118;134.13;0.046;28.0;117.0;0.99288;3.08;0.43;10.0;5
1766;Cabernet Sauvignon;7.0;0.14;0.41;0.9;54.89612359043633;718.19;213.10612359043634;158.21;0.037;22.0;95.0;0.9914;3.25;0.43;10.9;6
1767;Chardonnay;7.1;0.3;0.36;6.8;42.25810516792768;1248.35;354.4781051679277;312.22;0.055;44.5;234.0;0.9972;3.49;0.64;10.2;6
1768;Pinot noir;6.3;0.29;0.3;8.1;82.11483158863258;799.37;328.17483158863257;246.06;0.212;60.0;150.0;0.9958;3.1;0.4;9.3;5
1769;Chardonnay;7.1;0.36;0.37;4.8;93.1064088546392;888.46;436.5964088546392;343.49;0.019;39.0;114.0;0.99036;3.08;0.49;12.7;7
1770;Chardonnay;8.0;0.26;0.28;8.2;48.876102618934446;926.5;380.61610261893446;331.74;0.038;72.0;202.0;0.99566;3.12;0.56;10.0;6
1771;Pinot noir;7.4;0.24;0.4;4.3;50.579663607092364;1098.67;252.29966360709236;201.72;0.032;9.0;95.0;0.992;3.09;0.39;11.1;6
1772;Cabernet Sauvignon;8.3;0.23;0.43;3.2;65.76055435876175;715.97;317.29055435876177;251.53;0.035;14.0;101.0;0.9928;3.15;0.36;11.5;5
1773;Merlot;7.0;0.32;0.34;1.3;22.416924103732804;696.36;218.9769241037328;196.56;0.042;20.0;69.0;0.9912;3.31;0.65;12.0;7
1774;Cabernet Sauvignon;6.8;0.28;0.37;7.0;20.534108678713324;1318.12;194.83410867871333;174.3;0.057;35.0;208.0;0.9973;3.57;0.55;10.2;5
1775;Merlot;6.3;0.27;0.18;7.7;43.1975958473781;1516.72;324.6475958473781;281.45;0.048;45.0;186.0;0.9962;3.23;0.47;9.0;5
1776;Pinot noir;6.4;0.34;0.2;14.9;79.50907380480324;1249.66;444.61907380480324;365.11;0.06;37.0;162.0;0.9983;3.13;0.45;9.0;4
1777;Pinot noir;6.4;0.32;;10.7;47.97389112937809;725.24;286.3338911293781;238.36;0.047;57.0;206.0;0.9968;3.08;0.6;9.4;5
1778;Pinot noir;6.9;0.2;0.41;1.1;23.799449765160308;748.35;228.70944976516031;204.91;0.06;36.0;104.0;0.99317;2.99;0.39;9.2;5
1779;Pinot noir;7.0;0.48;0.12;4.5;63.220589491594424;570.31;161.1005894915944;97.88;0.05;23.0;86.0;0.99398;2.86;0.35;9.0;5
1780;Pinot noir;6.3;0.33;0.2;17.9;76.26579819511696;888.43;467.44579819511694;391.18;0.066;36.0;161.0;0.9991;3.14;0.51;8.8;5
1781;Cabernet Sauvignon;5.7;0.33;0.32;1.4;76.98726181677029;886.48;347.6272618167703;270.64;0.043;28.0;93.0;0.9897;3.31;0.5;12.3;6
1782;Pinot noir;8.5;0.15;0.49;1.5;13.863275495978744;1127.13;328.9832754959788;315.12;0.031;17.0;122.0;0.9932;3.03;0.4;10.3;6
1783;Pinot noir;6.8;0.27;0.28;13.3;43.21191425698686;1155.76;182.88191425698685;139.67;0.076;50.0;163.0;0.9979;3.03;0.38;8.6;6
1784;Cabernet Sauvignon;6.3;0.24;0.74;1.4;36.8920393015066;894.41;305.3420393015066;268.45;0.172;24.0;108.0;0.9932;3.27;0.39;9.9;6
1785;Pinot noir;7.6;0.25;0.34;1.3;91.7632769034344;1096.26;296.0232769034344;204.26;0.056;34.0;176.0;0.99434;3.1;0.51;9.5;5
